Designator,Mid X,Mid Y,Rotation,Layer
A1,60.09,-94.795,0.0,bottom
C1,59.15,-101.8,270.0,bottom
C10,64.18,-111.66,90.0,bottom
C11,61.55,-79.81,90.0,bottom
C12,59.1005,-116.75,180.0,bottom
C13,55.6,-91.65,90.0,bottom
C2,58.919936,-60.459936,270.0,bottom
C3,57.2,-87.0,90.0,bottom
C4,55.7,-128.14,180.0,bottom
C5,61.9995,-121.4,180.0,bottom
C6,56.0205,-111.36,270.0,bottom
C7,58.2755,-151.04,270.0,bottom
C8,58.65,-79.81,90.0,bottom
C9,64.21,-87.8805,270.0,bottom
D1,60.1,-141.19,270.0,bottom
D2,67.0505,-123.115,90.0,top
D3,58.3,-74.5,270.0,bottom
D4,62.05,-74.5,270.0,bottom
D5,53.1505,-123.115,90.0,top
J1,55.225,-150.5225,180.0,top
J2,55.225,-139.5175,0.0,top
J3,64.975,-139.5175,0.0,top
J4,64.975,-150.5225,180.0,top
J5,60.1,-68.15,270.0,bottom
P1,60.1,-98.063,0.0,top
P2,60.1,-58.055,0.0,top
P3,60.1,-78.063,0.0,top
P4,60.1,-118.063,0.0,top
R1,61.0,-101.85,270.0,bottom
R10,58.95,-137.35,90.0,bottom
R11,58.2195,-119.08,180.0,bottom
R12,60.6,-137.85,0.0,bottom
R13,58.2195,-121.4,180.0,bottom
R14,61.25,-96.8,0.0,bottom
R15,59.45,-100.15,180.0,bottom
R16,63.9,-129.6,90.0,bottom
R17,61.5795,-106.61,0.0,bottom
R18,57.8195,-106.61,0.0,bottom
R19,61.12,-86.6105,0.0,bottom
R2,61.249936,-60.459936,270.0,bottom
R20,64.75,-91.55,270.0,bottom
R21,68.0245,-154.8195,90.0,bottom
R22,55.75,-131.2,180.0,bottom
R23,52.1,-129.2,90.0,bottom
R24,65.4,-129.1,90.0,bottom
R3,58.65,-87.0,90.0,bottom
R4,55.75,-129.75,180.0,bottom
R5,59.05,-98.875,180.0,bottom
R6,55.3205,-114.41,0.0,bottom
R7,58.2755,-154.82,90.0,bottom
R8,68.1505,-118.61,90.0,bottom
R9,61.9795,-119.08,0.0,bottom
SW1,55.3505,-129.29,0.0,top
SW2,64.8505,-129.29,0.0,top
U1,60.1,-111.66,0.0,bottom
U2,60.1,-91.6605,0.0,bottom
